pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2400004-3	|	19	19	145	|	69	4.427	|	0.275	1.219	1.219	19	0.131
2400004-4	|	24	24	266	|	102	4.427	|	0.235	1.042	1.042	24	0.09
2400004-5	|	10	10	135	|	60	4.427	|	0.167	0.738	0.738	10	0.074
2400004-6	|	32	32	293	|	124	4.427	|	0.258	1.142	1.142	32	0.109
2400004-7	|	27	27	185	|	76	4.427	|	0.355	1.573	1.573	27	0.146
2400004-8	|	30	30	284	|	107	4.427	|	0.28	1.241	1.241	30	0.106
2400004-9	|	21	21	147	|	57	4.427	|	0.368	1.631	1.631	21	0.143
2400004-10	|	38	38	228	|	88	4.427	|	0.432	1.912	1.912	38	0.167
2400004-11	|	26	26	130	|	62	4.427	|	0.419	1.857	1.857	26	0.2
2400004-12	|	31	31	225	|	102	4.427	|	0.304	1.345	1.345	31	0.138
2400004-13	|	23	23	140	|	65	4.427	|	0.354	1.566	1.566	23	0.164
2400004-14	|	30	30	268	|	109	4.427	|	0.275	1.218	1.218	30	0.112
2400004-15	|	22	22	138	|	48	4.427	|	0.458	2.029	2.029	22	0.159
2400004-16	|	28	28	257	|	97	4.427	|	0.289	1.278	1.278	28	0.109
2400004-17	|	14	14	137	|	47	4.427	|	0.298	1.319	1.319	14	0.102
2400004-18	|	66	66	498	|	226	4.427	|	0.292	1.293	1.293	66	0.133
2400004-19	|	107	107	677	|	309	4.427	|	0.346	1.533	1.533	107	0.158
2400004-20	|	68	68	561	|	232	4.427	|	0.293	1.298	1.298	68	0.121
2400004-21	|	105	105	784	|	321	4.427	|	0.327	1.448	1.448	105	0.134
2400004-22	|	65	65	566	|	235	4.427	|	0.277	1.225	1.225	65	0.115
2400004-23	|	107	107	756	|	311	4.427	|	0.344	1.523	1.523	107	0.142
2400004-24	|	66	66	545	|	245	4.427	|	0.269	1.193	1.193	66	0.121
2400004-25	|	107	107	742	|	337	4.427	|	0.318	1.406	1.406	107	0.144
2400004-26	|	43	43	340	|	140	4.427	|	0.307	1.36	1.360	43	0.126
2400004-27	|	72	72	411	|	188	4.427	|	0.383	1.695	1.695	72	0.175
2400004-28	|	54	53	354	|	169	4.427	|	0.32	1.415	1.388	53	0.153
2400004-29	|	25	25	190	|	77	4.427	|	0.325	1.437	1.437	25	0.132
2400004-30	|	38	38	314	|	147	4.427	|	0.259	1.144	1.144	38	0.121
2400004-31	|	21	21	156	|	84	4.427	|	0.25	1.107	1.107	21	0.135
2400004-32	|	32	32	248	|	102	4.427	|	0.314	1.389	1.389	32	0.129
2400004-33	|	11	11	139	|	62	4.427	|	0.177	0.785	0.785	11	0.079
2400004-34	|	51	51	396	|	207	4.427	|	0.246	1.091	1.091	51	0.129
2400004-35	|	32	32	213	|	104	4.427	|	0.308	1.362	1.362	32	0.15
2400004-36	|	45	45	321	|	149	4.427	|	0.302	1.337	1.337	45	0.14
2400004-37	|	20	20	146	|	65	4.427	|	0.308	1.362	1.362	20	0.137
2400004-38	|	58	58	385	|	210	4.427	|	0.276	1.223	1.223	58	0.151
2400004-39	|	40	40	226	|	123	4.427	|	0.325	1.44	1.440	40	0.177
2400004-40	|	64	64	369	|	182	4.427	|	0.352	1.557	1.557	64	0.173
2400004-41	|	34	34	192	|	92	4.427	|	0.37	1.636	1.636	34	0.177
2400004-42	|	56	56	349	|	176	4.427	|	0.318	1.409	1.409	56	0.16
2400004-43	|	22	22	167	|	79	4.427	|	0.278	1.233	1.233	22	0.132
2400004-44	|	37	36	309	|	151	4.427	|	0.245	1.085	1.055	36	0.12
2400004-45	|	14	14	149	|	69	4.427	|	0.203	0.898	0.898	14	0.094
2400004-46	|	122	122	803	|	418	4.427	|	0.292	1.292	1.292	122	0.152
2400004-47	|	155	155	1059	|	558	4.427	|	0.278	1.23	1.230	155	0.146
2400004-48	|	115	115	748	|	355	4.427	|	0.324	1.434	1.434	115	0.154
2400004-49	|	148	148	992	|	461	4.427	|	0.321	1.421	1.421	148	0.149
2400004-50	|	106	106	739	|	366	4.427	|	0.29	1.282	1.282	106	0.143
2400004-51	|	149	149	940	|	420	4.427	|	0.355	1.571	1.571	149	0.159
2400004-52	|	112	112	784	|	399	4.427	|	0.281	1.243	1.243	112	0.143
2400004-53	|	145	145	1001	|	508	4.427	|	0.285	1.264	1.264	145	0.145
2400004-54	|	99	99	652	|	332	4.427	|	0.298	1.32	1.320	99	0.152
2400004-55	|	123	123	756	|	385	4.427	|	0.319	1.414	1.414	123	0.163
2400004-56	|	28	28	238	|	97	4.427	|	0.289	1.278	1.278	28	0.118
2400004-57	|	21	21	167	|	65	4.427	|	0.323	1.43	1.430	21	0.126
2400004-58	|	23	23	238	|	99	4.427	|	0.232	1.029	1.029	23	0.097
2400004-59	|	24	24	197	|	90	4.427	|	0.267	1.181	1.181	24	0.122
2400004-60	|	15	15	202	|	89	4.427	|	0.169	0.746	0.746	15	0.074
2400004-61	|	13	13	148	|	67	4.427	|	0.194	0.859	0.859	13	0.088
2400004-62	|	27	27	233	|	102	4.427	|	0.265	1.172	1.172	27	0.116
2400004-63	|	20	20	135	|	58	4.427	|	0.345	1.527	1.527	20	0.148
2400004-64	|	26	26	232	|	95	4.427	|	0.274	1.212	1.212	26	0.112
2400004-65	|	15	15	138	|	60	4.427	|	0.25	1.107	1.107	15	0.109
2400004-66	|	29	29	192	|	90	4.427	|	0.322	1.426	1.426	29	0.151
2400004-67	|	29	29	138	|	68	4.427	|	0.426	1.888	1.888	29	0.21
2400004-68	|	26	26	178	|	87	4.427	|	0.299	1.323	1.323	26	0.146
2400004-69	|	24	24	146	|	78	4.427	|	0.308	1.362	1.362	24	0.164
2400004-70	|	25	25	203	|	84	4.427	|	0.298	1.318	1.318	25	0.123
2400004-71	|	22	22	125	|	44	4.427	|	0.5	2.214	2.214	22	0.176
2400004-72	|	21	21	201	|	86	4.427	|	0.244	1.081	1.081	21	0.104
2400004-73	|	11	11	111	|	51	4.427	|	0.216	0.955	0.955	11	0.099
2400004-74	|	53	53	397	|	179	4.427	|	0.296	1.311	1.311	53	0.134
2400004-75	|	114	114	642	|	323	4.427	|	0.353	1.562	1.562	114	0.178
2400004-76	|	53	53	427	|	184	4.427	|	0.288	1.275	1.275	53	0.124
2400004-77	|	116	116	725	|	332	4.427	|	0.349	1.547	1.547	116	0.16
2400004-78	|	51	51	430	|	179	4.427	|	0.285	1.261	1.261	51	0.119
2400004-79	|	111	111	693	|	297	4.427	|	0.374	1.655	1.655	111	0.16
2400004-80	|	54	54	414	|	173	4.427	|	0.312	1.382	1.382	54	0.13
2400004-81	|	108	108	644	|	305	4.427	|	0.354	1.568	1.568	108	0.168
2400004-82	|	43	43	281	|	130	4.427	|	0.331	1.464	1.464	43	0.153
2400004-83	|	74	74	385	|	183	4.427	|	0.404	1.79	1.790	74	0.192
2400004-84	|	14	14	285	|	100	4.427	|	0.14	0.62	0.620	14	0.049
2400004-85	|	8	8	135	|	49	4.427	|	0.163	0.723	0.723	8	0.059
2400004-86	|	13	13	260	|	99	4.427	|	0.131	0.581	0.581	13	0.05
2400004-87	|	8	8	117	|	52	4.427	|	0.154	0.681	0.681	8	0.068
2400004-88	|	14	14	260	|	87	4.427	|	0.161	0.712	0.712	14	0.054
2400004-89	|	5	5	103	|	33	4.427	|	0.152	0.671	0.671	5	0.049
2400004-90	|	11	11	264	|	95	4.427	|	0.116	0.513	0.513	11	0.042
2400004-91	|	6	6	132	|	56	4.427	|	0.107	0.474	0.474	6	0.045
2400004-92	|	15	15	260	|	98	4.427	|	0.153	0.678	0.678	15	0.058
2400004-93	|	6	6	98	|	35	4.427	|	0.171	0.759	0.759	6	0.061
2400004-94	|	8	8	196	|	77	4.427	|	0.104	0.46	0.460	8	0.041
2400004-95	|	7	7	80	|	36	4.427	|	0.194	0.861	0.861	7	0.087
2400004-96	|	8	8	231	|	94	4.427	|	0.085	0.377	0.377	8	0.035
2400004-97	|	7	7	99	|	41	4.427	|	0.171	0.756	0.756	7	0.071
2400004-98	|	7	7	218	|	75	4.427	|	0.093	0.413	0.413	7	0.032
2400004-99	|	5	5	93	|	35	4.427	|	0.143	0.632	0.632	5	0.054
2400004-100	|	14	14	235	|	86	4.427	|	0.163	0.721	0.721	14	0.06
2400004-101	|	6	6	86	|	22	4.427	|	0.273	1.207	1.207	6	0.07
2400004-102	|	27	27	506	|	186	4.427	|	0.145	0.643	0.643	27	0.053
2400004-103	|	35	35	477	|	176	4.427	|	0.199	0.88	0.880	35	0.073
2400004-104	|	29	28	601	|	220	4.427	|	0.132	0.584	0.563	28	0.048
2400004-105	|	39	39	687	|	247	4.427	|	0.158	0.699	0.699	39	0.057
2400004-106	|	31	30	602	|	220	4.427	|	0.141	0.624	0.604	30	0.051
2400004-107	|	41	41	637	|	209	4.427	|	0.196	0.868	0.868	41	0.064
2400004-108	|	28	28	550	|	201	4.427	|	0.139	0.617	0.617	28	0.051
2400004-109	|	34	34	520	|	187	4.427	|	0.182	0.805	0.805	34	0.065
2400004-110	|	14	14	349	|	136	4.427	|	0.103	0.456	0.456	14	0.04
2400004-111	|	14	14	320	|	125	4.427	|	0.112	0.496	0.496	14	0.044
2400004-112	|	34	34	281	|	129	4.427	|	0.264	1.167	1.167	34	0.121
2400004-113	|	23	23	173	|	76	4.427	|	0.303	1.34	1.340	23	0.133
2400004-114	|	50	49	319	|	155	4.427	|	0.323	1.428	1.400	49	0.157
2400004-115	|	28	28	226	|	120	4.427	|	0.233	1.033	1.033	28	0.124
2400004-116	|	32	31	254	|	113	4.427	|	0.283	1.254	1.215	31	0.126
2400004-117	|	11	11	136	|	68	4.427	|	0.162	0.716	0.716	11	0.081
2400004-118	|	29	29	246	|	103	4.427	|	0.282	1.246	1.246	29	0.118
2400004-119	|	12	12	137	|	52	4.427	|	0.231	1.022	1.022	12	0.088
2400004-120	|	34	34	253	|	115	4.427	|	0.296	1.309	1.309	34	0.134
2400004-121	|	19	19	124	|	55	4.427	|	0.345	1.529	1.529	19	0.153
2400004-122	|	44	43	253	|	122	4.427	|	0.361	1.597	1.560	43	0.174
2400004-123	|	37	36	155	|	79	4.427	|	0.468	2.073	2.017	36	0.239
2400004-124	|	40	39	244	|	114	4.427	|	0.351	1.553	1.515	39	0.164
2400004-125	|	29	28	130	|	59	4.427	|	0.492	2.176	2.101	28	0.223
2400004-126	|	41	40	278	|	122	4.427	|	0.336	1.488	1.451	40	0.147
2400004-127	|	27	26	159	|	68	4.427	|	0.397	1.758	1.693	26	0.17
2400004-128	|	38	38	265	|	117	4.427	|	0.325	1.438	1.438	38	0.143
2400004-129	|	20	20	146	|	68	4.427	|	0.294	1.302	1.302	20	0.137
2400004-130	|	93	93	554	|	262	4.427	|	0.355	1.571	1.571	93	0.168
2400004-131	|	160	160	814	|	414	4.427	|	0.386	1.711	1.711	160	0.197
2400004-132	|	90	89	580	|	262	4.427	|	0.344	1.521	1.504	89	0.155
2400004-133	|	157	157	863	|	389	4.427	|	0.404	1.787	1.787	157	0.182
2400004-134	|	83	83	553	|	245	4.427	|	0.339	1.5	1.500	83	0.15
2400004-135	|	133	133	801	|	351	4.427	|	0.379	1.677	1.677	133	0.166
2400004-136	|	93	93	550	|	248	4.427	|	0.375	1.66	1.660	93	0.169
2400004-137	|	148	148	787	|	371	4.427	|	0.399	1.766	1.766	148	0.188
2400004-138	|	70	69	384	|	184	4.427	|	0.38	1.684	1.660	69	0.182
2400004-139	|	120	120	510	|	240	4.427	|	0.5	2.214	2.214	120	0.235
2400004-140	|	20	20	200	|	82	4.427	|	0.244	1.08	1.080	20	0.1
2400004-141	|	13	13	150	|	55	4.427	|	0.236	1.046	1.046	13	0.087
2400004-142	|	27	27	234	|	100	4.427	|	0.27	1.195	1.195	27	0.115
2400004-143	|	19	19	177	|	77	4.427	|	0.247	1.092	1.092	19	0.107
2400004-144	|	23	23	200	|	81	4.427	|	0.284	1.257	1.257	23	0.115
2400004-145	|	14	14	133	|	58	4.427	|	0.241	1.069	1.069	14	0.105
2400004-146	|	19	19	164	|	68	4.427	|	0.279	1.237	1.237	19	0.116
2400004-147	|	16	16	125	|	48	4.427	|	0.333	1.476	1.476	16	0.128
2400004-148	|	24	24	201	|	91	4.427	|	0.264	1.168	1.168	24	0.119
2400004-149	|	22	22	140	|	60	4.427	|	0.367	1.623	1.623	22	0.157
2400004-150	|	24	24	177	|	80	4.427	|	0.3	1.328	1.328	24	0.136
