pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2240000-0	|	13	13	288	|	172	9.403	|	0.076	0.711	0.711	13	0.045
2240000-1	|	12	12	180	|	114	9.403	|	0.105	0.99	0.990	12	0.067
2240000-2	|	11	11	262	|	156	9.403	|	0.071	0.663	0.663	11	0.042
2240000-3	|	7	7	145	|	92	9.403	|	0.076	0.715	0.715	7	0.048
2240000-4	|	16	16	266	|	166	9.403	|	0.096	0.906	0.906	16	0.06
2240000-5	|	7	7	135	|	84	9.403	|	0.083	0.784	0.784	7	0.052
2240000-6	|	15	15	293	|	177	9.403	|	0.085	0.797	0.797	15	0.051
2240000-7	|	15	15	185	|	114	9.403	|	0.132	1.237	1.237	15	0.081
2240000-8	|	13	13	284	|	167	9.403	|	0.078	0.732	0.732	13	0.046
2240000-9	|	6	6	147	|	92	9.403	|	0.065	0.613	0.613	6	0.041
2240000-10	|	12	12	228	|	149	9.403	|	0.081	0.757	0.757	12	0.053
2240000-11	|	7	7	130	|	88	9.403	|	0.08	0.748	0.748	7	0.054
2240000-12	|	12	12	225	|	141	9.403	|	0.085	0.8	0.800	12	0.053
2240000-13	|	9	9	140	|	96	9.403	|	0.094	0.881	0.881	9	0.064
2240000-14	|	12	12	268	|	167	9.403	|	0.072	0.676	0.676	12	0.045
2240000-15	|	7	7	138	|	83	9.403	|	0.084	0.793	0.793	7	0.051
2240000-16	|	13	13	257	|	148	9.403	|	0.088	0.826	0.826	13	0.051
2240000-17	|	8	8	137	|	79	9.403	|	0.101	0.952	0.952	8	0.058
2240000-18	|	26	26	498	|	314	9.403	|	0.083	0.779	0.779	26	0.052
2240000-19	|	37	37	677	|	458	9.403	|	0.081	0.76	0.760	37	0.055
2240000-20	|	26	26	561	|	355	9.403	|	0.073	0.689	0.689	26	0.046
2240000-21	|	37	37	784	|	527	9.403	|	0.07	0.66	0.660	37	0.047
2240000-22	|	32	32	566	|	350	9.403	|	0.091	0.86	0.860	32	0.057
2240000-23	|	35	35	756	|	477	9.403	|	0.073	0.69	0.690	35	0.046
2240000-24	|	28	28	545	|	354	9.403	|	0.079	0.744	0.744	28	0.051
2240000-25	|	44	44	742	|	490	9.403	|	0.09	0.844	0.844	44	0.059
2240000-26	|	24	24	340	|	221	9.403	|	0.109	1.021	1.021	24	0.071
2240000-27	|	26	26	411	|	297	9.403	|	0.088	0.823	0.823	26	0.063
2240000-28	|	21	21	354	|	228	9.403	|	0.092	0.866	0.866	21	0.059
2240000-29	|	9	9	190	|	121	9.403	|	0.074	0.699	0.699	9	0.047
2240000-30	|	17	17	314	|	200	9.403	|	0.085	0.799	0.799	17	0.054
2240000-31	|	11	11	156	|	97	9.403	|	0.113	1.066	1.066	11	0.071
2240000-32	|	16	16	248	|	161	9.403	|	0.099	0.934	0.934	16	0.065
2240000-33	|	7	7	139	|	88	9.403	|	0.08	0.748	0.748	7	0.05
2240000-34	|	32	32	396	|	274	9.403	|	0.117	1.098	1.098	32	0.081
