pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2370005-0	|	60	60	288	|	117	3.254	|	0.513	1.669	1.669	60	0.208
2370005-1	|	37	37	180	|	73	3.254	|	0.507	1.65	1.650	37	0.206
2370005-2	|	64	64	262	|	95	3.254	|	0.674	2.192	2.192	64	0.244
2370005-3	|	38	38	145	|	59	3.254	|	0.644	2.096	2.096	38	0.262
2370005-4	|	58	58	266	|	101	3.254	|	0.574	1.869	1.869	58	0.218
2370005-5	|	28	28	135	|	60	3.254	|	0.467	1.519	1.519	28	0.207
2370005-6	|	64	64	293	|	115	3.254	|	0.557	1.811	1.811	64	0.218
2370005-7	|	40	40	185	|	68	3.254	|	0.588	1.914	1.914	40	0.216
2370005-8	|	58	58	284	|	110	3.254	|	0.527	1.716	1.716	58	0.204
2370005-9	|	37	37	147	|	53	3.254	|	0.698	2.272	2.272	37	0.252
2370005-10	|	50	50	228	|	82	3.254	|	0.61	1.984	1.984	50	0.219
2370005-11	|	30	30	130	|	38	3.254	|	0.789	2.569	2.569	30	0.231
2370005-12	|	56	56	225	|	76	3.254	|	0.737	2.398	2.398	56	0.249
2370005-13	|	31	31	140	|	41	3.254	|	0.756	2.461	2.461	31	0.221
2370005-14	|	60	60	268	|	103	3.254	|	0.583	1.896	1.896	60	0.224
2370005-15	|	30	30	138	|	58	3.254	|	0.517	1.683	1.683	30	0.217
2370005-16	|	47	47	257	|	100	3.254	|	0.47	1.53	1.530	47	0.183
2370005-17	|	31	31	137	|	50	3.254	|	0.62	2.018	2.018	31	0.226
2370005-18	|	106	106	498	|	201	3.254	|	0.527	1.716	1.716	106	0.213
2370005-19	|	146	146	677	|	265	3.254	|	0.551	1.793	1.793	146	0.216
2370005-20	|	115	115	561	|	230	3.254	|	0.5	1.627	1.627	115	0.205
2370005-21	|	177	177	784	|	316	3.254	|	0.56	1.823	1.823	177	0.226
2370005-22	|	124	124	566	|	228	3.254	|	0.544	1.77	1.770	124	0.219
2370005-23	|	161	161	756	|	306	3.254	|	0.526	1.712	1.712	161	0.213
2370005-24	|	111	111	545	|	223	3.254	|	0.498	1.62	1.620	111	0.204
2370005-25	|	150	150	742	|	295	3.254	|	0.508	1.655	1.655	150	0.202
2370005-26	|	81	81	340	|	129	3.254	|	0.628	2.044	2.044	81	0.238
2370005-27	|	91	91	411	|	153	3.254	|	0.595	1.936	1.936	91	0.221
2370005-28	|	57	57	354	|	156	3.254	|	0.365	1.189	1.189	57	0.161
2370005-29	|	40	40	190	|	78	3.254	|	0.513	1.669	1.669	40	0.211
2370005-30	|	54	54	314	|	147	3.254	|	0.367	1.196	1.196	54	0.172
2370005-31	|	39	39	156	|	66	3.254	|	0.591	1.923	1.923	39	0.25
2370005-32	|	45	45	248	|	109	3.254	|	0.413	1.344	1.344	45	0.181
2370005-33	|	27	27	139	|	61	3.254	|	0.443	1.441	1.441	27	0.194
2370005-34	|	61	61	396	|	191	3.254	|	0.319	1.039	1.039	61	0.154
2370005-35	|	39	39	213	|	98	3.254	|	0.398	1.295	1.295	39	0.183
2370005-36	|	57	56	321	|	142	3.254	|	0.401	1.306	1.283	56	0.178
2370005-37	|	25	24	146	|	70	3.254	|	0.357	1.162	1.116	24	0.171
2370005-38	|	60	60	385	|	164	3.254	|	0.366	1.191	1.191	60	0.156
2370005-39	|	37	37	226	|	97	3.254	|	0.381	1.241	1.241	37	0.164
2370005-40	|	61	61	369	|	160	3.254	|	0.381	1.241	1.241	61	0.165
2370005-41	|	29	28	192	|	68	3.254	|	0.426	1.388	1.340	28	0.151
2370005-42	|	54	54	349	|	154	3.254	|	0.351	1.141	1.141	54	0.155
2370005-43	|	30	30	167	|	73	3.254	|	0.411	1.337	1.337	30	0.18
2370005-44	|	52	51	309	|	136	3.254	|	0.382	1.244	1.220	51	0.168
2370005-45	|	26	26	149	|	72	3.254	|	0.361	1.175	1.175	26	0.174
2370005-46	|	120	120	803	|	342	3.254	|	0.351	1.142	1.142	120	0.149
2370005-47	|	173	173	1059	|	424	3.254	|	0.408	1.328	1.328	173	0.163
2370005-48	|	119	119	748	|	330	3.254	|	0.361	1.174	1.174	119	0.159
2370005-49	|	186	186	992	|	420	3.254	|	0.443	1.441	1.441	186	0.188
2370005-50	|	110	110	739	|	319	3.254	|	0.345	1.122	1.122	110	0.149
2370005-51	|	147	147	940	|	408	3.254	|	0.36	1.173	1.173	147	0.156
2370005-52	|	120	120	784	|	323	3.254	|	0.372	1.209	1.209	120	0.153
2370005-53	|	157	157	1001	|	401	3.254	|	0.392	1.274	1.274	157	0.157
2370005-54	|	93	93	652	|	282	3.254	|	0.33	1.073	1.073	93	0.143
2370005-55	|	113	113	756	|	302	3.254	|	0.374	1.218	1.218	113	0.149
2370005-56	|	57	57	238	|	99	3.254	|	0.576	1.874	1.874	57	0.239
2370005-57	|	41	41	167	|	70	3.254	|	0.586	1.906	1.906	41	0.246
2370005-58	|	56	56	238	|	96	3.254	|	0.583	1.898	1.898	56	0.235
2370005-59	|	39	39	197	|	83	3.254	|	0.47	1.529	1.529	39	0.198
2370005-60	|	50	50	202	|	86	3.254	|	0.581	1.892	1.892	50	0.248
2370005-61	|	40	40	148	|	67	3.254	|	0.597	1.943	1.943	40	0.27
2370005-62	|	62	62	233	|	88	3.254	|	0.705	2.293	2.293	62	0.266
2370005-63	|	40	40	135	|	50	3.254	|	0.8	2.604	2.604	40	0.296
2370005-64	|	55	55	232	|	101	3.254	|	0.545	1.772	1.772	55	0.237
2370005-65	|	31	31	138	|	60	3.254	|	0.517	1.681	1.681	31	0.225
2370005-66	|	43	43	192	|	71	3.254	|	0.606	1.971	1.971	43	0.224
2370005-67	|	40	40	138	|	48	3.254	|	0.833	2.712	2.712	40	0.29
2370005-68	|	40	40	178	|	76	3.254	|	0.526	1.713	1.713	40	0.225
2370005-69	|	33	33	146	|	54	3.254	|	0.611	1.989	1.989	33	0.226
2370005-70	|	57	57	203	|	83	3.254	|	0.687	2.235	2.235	57	0.281
2370005-71	|	33	33	125	|	46	3.254	|	0.717	2.335	2.335	33	0.264
2370005-72	|	45	45	201	|	89	3.254	|	0.506	1.646	1.646	45	0.224
2370005-73	|	32	32	111	|	45	3.254	|	0.711	2.314	2.314	32	0.288
2370005-74	|	88	88	397	|	162	3.254	|	0.543	1.768	1.768	88	0.222
2370005-75	|	151	151	642	|	261	3.254	|	0.579	1.883	1.883	151	0.235
2370005-76	|	98	98	427	|	183	3.254	|	0.536	1.743	1.743	98	0.23
2370005-77	|	170	170	725	|	310	3.254	|	0.548	1.785	1.785	170	0.234
2370005-78	|	96	96	430	|	180	3.254	|	0.533	1.736	1.736	96	0.223
2370005-79	|	159	159	693	|	283	3.254	|	0.562	1.828	1.828	159	0.229
2370005-80	|	89	89	414	|	175	3.254	|	0.509	1.655	1.655	89	0.215
2370005-81	|	152	152	644	|	262	3.254	|	0.58	1.888	1.888	152	0.236
2370005-82	|	59	59	281	|	127	3.254	|	0.465	1.512	1.512	59	0.21
2370005-83	|	89	89	385	|	155	3.254	|	0.574	1.869	1.869	89	0.231
2370005-84	|	37	37	285	|	101	3.254	|	0.366	1.192	1.192	37	0.13
2370005-85	|	16	16	135	|	45	3.254	|	0.356	1.157	1.157	16	0.119
2370005-86	|	28	28	260	|	98	3.254	|	0.286	0.93	0.930	28	0.108
2370005-87	|	12	12	117	|	50	3.254	|	0.24	0.781	0.781	12	0.103
2370005-88	|	30	30	260	|	86	3.254	|	0.349	1.135	1.135	30	0.115
2370005-89	|	9	9	103	|	36	3.254	|	0.25	0.814	0.814	9	0.087
2370005-90	|	35	35	264	|	101	3.254	|	0.347	1.128	1.128	35	0.133
2370005-91	|	13	13	132	|	50	3.254	|	0.26	0.846	0.846	13	0.098
2370005-92	|	29	29	260	|	88	3.254	|	0.33	1.072	1.072	29	0.112
2370005-93	|	7	7	98	|	36	3.254	|	0.194	0.633	0.633	7	0.071
2370005-94	|	20	20	196	|	82	3.254	|	0.244	0.794	0.794	20	0.102
2370005-95	|	8	8	80	|	29	3.254	|	0.276	0.898	0.898	8	0.1
2370005-96	|	21	21	231	|	84	3.254	|	0.25	0.814	0.814	21	0.091
2370005-97	|	6	6	99	|	36	3.254	|	0.167	0.542	0.542	6	0.061
2370005-98	|	26	26	218	|	80	3.254	|	0.325	1.058	1.058	26	0.119
2370005-99	|	12	12	93	|	34	3.254	|	0.353	1.149	1.149	12	0.129
2370005-100	|	27	27	235	|	80	3.254	|	0.338	1.098	1.098	27	0.115
2370005-101	|	3	3	86	|	31	3.254	|	0.097	0.315	0.315	3	0.035
2370005-102	|	59	59	506	|	197	3.254	|	0.299	0.975	0.975	59	0.117
2370005-103	|	46	46	477	|	196	3.254	|	0.235	0.764	0.764	46	0.096
2370005-104	|	78	78	601	|	241	3.254	|	0.324	1.053	1.053	78	0.13
2370005-105	|	72	72	687	|	292	3.254	|	0.247	0.802	0.802	72	0.105
2370005-106	|	78	78	602	|	231	3.254	|	0.338	1.099	1.099	78	0.13
2370005-107	|	68	68	637	|	249	3.254	|	0.273	0.889	0.889	68	0.107
2370005-108	|	69	69	550	|	215	3.254	|	0.321	1.044	1.044	69	0.125
2370005-109	|	59	59	520	|	201	3.254	|	0.294	0.955	0.955	59	0.113
2370005-110	|	39	39	349	|	137	3.254	|	0.285	0.926	0.926	39	0.112
2370005-111	|	35	35	320	|	118	3.254	|	0.297	0.965	0.965	35	0.109
2370005-112	|	76	75	281	|	100	3.254	|	0.76	2.473	2.441	75	0.27
2370005-113	|	49	49	173	|	53	3.254	|	0.925	3.009	3.009	49	0.283
2370005-114	|	72	72	319	|	132	3.254	|	0.545	1.775	1.775	72	0.226
2370005-115	|	47	47	226	|	87	3.254	|	0.54	1.758	1.758	47	0.208
2370005-116	|	68	67	254	|	88	3.254	|	0.773	2.515	2.478	67	0.268
2370005-117	|	43	43	136	|	45	3.254	|	0.956	3.11	3.110	43	0.316
2370005-118	|	66	66	246	|	78	3.254	|	0.846	2.754	2.754	66	0.268
2370005-119	|	41	41	137	|	46	3.254	|	0.891	2.901	2.901	41	0.299
2370005-120	|	68	68	253	|	90	3.254	|	0.756	2.459	2.459	68	0.269
2370005-121	|	35	35	124	|	44	3.254	|	0.795	2.589	2.589	35	0.282
2370005-122	|	64	64	253	|	101	3.254	|	0.634	2.062	2.062	64	0.253
2370005-123	|	41	41	155	|	64	3.254	|	0.641	2.085	2.085	41	0.265
2370005-124	|	58	58	244	|	87	3.254	|	0.667	2.17	2.170	58	0.238
2370005-125	|	32	32	130	|	41	3.254	|	0.78	2.54	2.540	32	0.246
2370005-126	|	74	74	278	|	101	3.254	|	0.733	2.384	2.384	74	0.266
2370005-127	|	46	46	159	|	58	3.254	|	0.793	2.581	2.581	46	0.289
2370005-128	|	62	62	265	|	95	3.254	|	0.653	2.124	2.124	62	0.234
2370005-129	|	38	38	146	|	53	3.254	|	0.717	2.333	2.333	38	0.26
2370005-130	|	134	134	554	|	208	3.254	|	0.644	2.097	2.097	134	0.242
2370005-131	|	192	192	814	|	317	3.254	|	0.606	1.971	1.971	192	0.236
2370005-132	|	140	140	580	|	220	3.254	|	0.636	2.071	2.071	140	0.241
2370005-133	|	210	210	863	|	329	3.254	|	0.638	2.077	2.077	210	0.243
2370005-134	|	132	132	553	|	199	3.254	|	0.663	2.159	2.159	132	0.239
2370005-135	|	175	175	801	|	292	3.254	|	0.599	1.95	1.950	175	0.218
2370005-136	|	132	132	550	|	204	3.254	|	0.647	2.106	2.106	132	0.24
2370005-137	|	167	166	787	|	311	3.254	|	0.537	1.748	1.737	166	0.212
2370005-138	|	97	97	384	|	144	3.254	|	0.674	2.192	2.192	97	0.253
2370005-139	|	121	121	510	|	199	3.254	|	0.608	1.979	1.979	121	0.237
2370005-140	|	54	54	200	|	76	3.254	|	0.711	2.312	2.312	54	0.27
2370005-141	|	38	38	150	|	62	3.254	|	0.613	1.995	1.995	38	0.253
2370005-142	|	60	60	234	|	79	3.254	|	0.759	2.472	2.472	60	0.256
2370005-143	|	31	31	177	|	72	3.254	|	0.431	1.401	1.401	31	0.175
2370005-144	|	41	41	200	|	81	3.254	|	0.506	1.647	1.647	41	0.205
2370005-145	|	32	32	133	|	55	3.254	|	0.582	1.894	1.894	32	0.241
2370005-146	|	41	41	164	|	73	3.254	|	0.562	1.828	1.828	41	0.25
2370005-147	|	30	30	125	|	56	3.254	|	0.536	1.743	1.743	30	0.24
2370005-148	|	48	48	201	|	84	3.254	|	0.571	1.86	1.860	48	0.239
2370005-149	|	28	28	140	|	60	3.254	|	0.467	1.519	1.519	28	0.2
2370005-150	|	47	47	177	|	69	3.254	|	0.681	2.217	2.217	47	0.266
2370005-151	|	34	34	123	|	44	3.254	|	0.773	2.515	2.515	34	0.276
2370005-152	|	42	42	152	|	52	3.254	|	0.808	2.629	2.629	42	0.276
2370005-153	|	30	30	117	|	45	3.254	|	0.667	2.17	2.170	30	0.256
2370005-154	|	50	50	191	|	78	3.254	|	0.641	2.086	2.086	50	0.262
