pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2400004-0	|	51	51	357	|	165	3.547	|	0.309	1.096	1.096	51	0.143
2400004-1	|	37	37	248	|	112	3.547	|	0.33	1.172	1.172	37	0.149
2400004-2	|	36	36	294	|	133	3.547	|	0.271	0.96	0.960	36	0.122
2400004-3	|	23	23	164	|	81	3.547	|	0.284	1.007	1.007	23	0.14
2400004-4	|	28	28	240	|	102	3.547	|	0.275	0.974	0.974	28	0.117
2400004-5	|	15	15	152	|	67	3.547	|	0.224	0.794	0.794	15	0.099
2400004-6	|	38	38	310	|	149	3.547	|	0.255	0.905	0.905	38	0.123
2400004-7	|	28	28	181	|	84	3.547	|	0.333	1.182	1.182	28	0.155
2400004-8	|	32	31	263	|	113	3.547	|	0.283	1.005	0.973	31	0.122
2400004-9	|	10	9	126	|	58	3.547	|	0.172	0.612	0.550	9	0.079
2400004-10	|	51	50	310	|	143	3.547	|	0.357	1.265	1.240	50	0.165
2400004-11	|	49	48	212	|	103	3.547	|	0.476	1.687	1.653	48	0.231
2400004-12	|	44	43	258	|	126	3.547	|	0.349	1.239	1.211	43	0.171
2400004-13	|	35	35	145	|	62	3.547	|	0.565	2.002	2.002	35	0.241
2400004-14	|	43	42	308	|	139	3.547	|	0.309	1.097	1.072	42	0.14
2400004-15	|	23	23	154	|	66	3.547	|	0.348	1.236	1.236	23	0.149
2400004-16	|	34	33	272	|	131	3.547	|	0.26	0.921	0.894	33	0.125
2400004-17	|	16	16	130	|	65	3.547	|	0.246	0.873	0.873	16	0.123
2400004-18	|	88	86	595	|	269	3.547	|	0.327	1.16	1.134	86	0.148
2400004-19	|	162	161	910	|	401	3.547	|	0.404	1.433	1.424	161	0.178
2400004-20	|	85	83	577	|	256	3.547	|	0.332	1.178	1.150	83	0.147
2400004-21	|	125	125	719	|	301	3.547	|	0.415	1.473	1.473	125	0.174
2400004-22	|	75	74	555	|	244	3.547	|	0.307	1.09	1.076	74	0.135
2400004-23	|	127	127	782	|	328	3.547	|	0.387	1.373	1.373	127	0.162
2400004-24	|	81	80	582	|	259	3.547	|	0.313	1.109	1.096	80	0.139
2400004-25	|	137	137	747	|	318	3.547	|	0.431	1.528	1.528	137	0.183
2400004-26	|	55	53	335	|	163	3.547	|	0.337	1.197	1.153	53	0.164
2400004-27	|	66	66	342	|	145	3.547	|	0.455	1.615	1.615	66	0.193
2400004-28	|	72	72	458	|	214	3.547	|	0.336	1.193	1.193	72	0.157
2400004-29	|	33	33	232	|	111	3.547	|	0.297	1.055	1.055	33	0.142
2400004-30	|	64	64	446	|	224	3.547	|	0.286	1.013	1.013	64	0.143
2400004-31	|	24	23	190	|	93	3.547	|	0.258	0.915	0.877	23	0.126
2400004-32	|	26	26	263	|	116	3.547	|	0.224	0.795	0.795	26	0.099
2400004-33	|	13	13	133	|	60	3.547	|	0.217	0.769	0.769	13	0.098
2400004-34	|	86	86	494	|	241	3.547	|	0.357	1.266	1.266	86	0.174
2400004-35	|	39	39	239	|	107	3.547	|	0.364	1.293	1.293	39	0.163
2400004-36	|	66	66	386	|	183	3.547	|	0.361	1.279	1.279	66	0.171
2400004-37	|	18	17	149	|	74	3.547	|	0.243	0.863	0.815	17	0.121
2400004-38	|	104	104	596	|	321	3.547	|	0.324	1.149	1.149	104	0.174
2400004-39	|	81	81	352	|	175	3.547	|	0.463	1.642	1.642	81	0.23
2400004-40	|	92	92	460	|	243	3.547	|	0.379	1.343	1.343	92	0.2
2400004-41	|	52	52	238	|	119	3.547	|	0.437	1.55	1.550	52	0.218
2400004-42	|	73	73	409	|	197	3.547	|	0.371	1.314	1.314	73	0.178
2400004-43	|	31	31	206	|	101	3.547	|	0.307	1.089	1.089	31	0.15
2400004-44	|	59	59	390	|	185	3.547	|	0.319	1.131	1.131	59	0.151
2400004-45	|	25	25	166	|	78	3.547	|	0.321	1.137	1.137	25	0.151
2400004-46	|	175	175	1091	|	553	3.547	|	0.316	1.123	1.123	175	0.16
2400004-47	|	251	251	905	|	445	3.547	|	0.564	2.001	2.001	251	0.277
2400004-48	|	130	130	877	|	437	3.547	|	0.297	1.055	1.055	130	0.148
2400004-49	|	140	140	884	|	429	3.547	|	0.326	1.158	1.158	140	0.158
2400004-50	|	144	144	932	|	468	3.547	|	0.308	1.091	1.091	144	0.155
2400004-51	|	157	157	1038	|	500	3.547	|	0.314	1.114	1.114	157	0.151
2400004-52	|	166	166	959	|	478	3.547	|	0.347	1.232	1.232	166	0.173
2400004-53	|	192	192	1137	|	570	3.547	|	0.337	1.195	1.195	192	0.169
