pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2120020-213	|	27	27	136	|	102	9.345	|	0.265	2.474	2.474	27	0.199
2120020-214	|	190	190	771	|	545	9.345	|	0.349	3.258	3.258	190	0.246
2120020-215	|	302	302	1215	|	841	9.345	|	0.359	3.356	3.356	302	0.249
2120020-216	|	160	160	673	|	485	9.345	|	0.33	3.083	3.083	160	0.238
2120020-217	|	191	191	821	|	590	9.345	|	0.324	3.025	3.025	191	0.233
2120020-218	|	168	168	683	|	488	9.345	|	0.344	3.217	3.217	168	0.246
2120020-219	|	208	208	886	|	634	9.345	|	0.328	3.066	3.066	208	0.235
2120020-220	|	179	179	698	|	491	9.345	|	0.365	3.407	3.407	179	0.256
2120020-221	|	227	227	929	|	659	9.345	|	0.344	3.219	3.219	227	0.244
2120020-222	|	141	140	562	|	396	9.345	|	0.356	3.327	3.304	140	0.251
2120020-223	|	141	141	590	|	409	9.345	|	0.345	3.222	3.222	141	0.239
2120020-224	|	63	63	258	|	171	9.345	|	0.368	3.443	3.443	63	0.244
2120020-225	|	47	47	193	|	122	9.345	|	0.385	3.6	3.600	47	0.244
2120020-226	|	75	74	293	|	188	9.345	|	0.399	3.728	3.678	74	0.256
2120020-227	|	52	52	208	|	134	9.345	|	0.388	3.626	3.626	52	0.25
2120020-228	|	57	57	223	|	142	9.345	|	0.401	3.751	3.751	57	0.256
2120020-229	|	28	28	131	|	88	9.345	|	0.318	2.973	2.973	28	0.214
2120020-230	|	42	42	169	|	103	9.345	|	0.408	3.811	3.811	42	0.249
2120020-231	|	22	22	111	|	75	9.345	|	0.293	2.741	2.741	22	0.198
2120020-232	|	65	65	263	|	170	9.345	|	0.382	3.573	3.573	65	0.247
2120020-233	|	42	42	168	|	108	9.345	|	0.389	3.634	3.634	42	0.25
2120020-234	|	52	52	211	|	136	9.345	|	0.382	3.573	3.573	52	0.246
2120020-235	|	25	25	96	|	58	9.345	|	0.431	4.028	4.028	25	0.26
2120020-236	|	69	68	240	|	153	9.345	|	0.451	4.214	4.153	68	0.287
2120020-237	|	59	59	201	|	121	9.345	|	0.488	4.557	4.557	59	0.294
2120020-238	|	56	56	246	|	164	9.345	|	0.341	3.191	3.191	56	0.228
2120020-239	|	41	41	163	|	105	9.345	|	0.39	3.649	3.649	41	0.252
2120020-240	|	58	58	237	|	149	9.345	|	0.389	3.638	3.638	58	0.245
2120020-241	|	26	26	104	|	65	9.345	|	0.4	3.738	3.738	26	0.25
2120020-242	|	118	117	485	|	313	9.345	|	0.377	3.523	3.493	117	0.243
2120020-243	|	221	220	863	|	549	9.345	|	0.403	3.762	3.745	220	0.256
2120020-244	|	100	99	449	|	300	9.345	|	0.333	3.115	3.084	99	0.223
2120020-245	|	161	161	675	|	453	9.345	|	0.355	3.321	3.321	161	0.239
2120020-246	|	111	110	450	|	290	9.345	|	0.383	3.577	3.545	110	0.247
2120020-247	|	181	181	717	|	463	9.345	|	0.391	3.653	3.653	181	0.252
2120020-248	|	109	108	471	|	312	9.345	|	0.349	3.265	3.235	108	0.231
2120020-249	|	176	176	719	|	470	9.345	|	0.374	3.499	3.499	176	0.245
2120020-250	|	81	80	310	|	193	9.345	|	0.42	3.922	3.874	80	0.261
2120020-251	|	119	119	403	|	234	9.345	|	0.509	4.752	4.752	119	0.295
2120020-252	|	41	41	203	|	143	9.345	|	0.287	2.679	2.679	41	0.202
