pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2370005-0	|	64	64	357	|	127	3.811	|	0.504	1.921	1.921	64	0.179
2370005-1	|	44	44	248	|	84	3.811	|	0.524	1.996	1.996	44	0.177
2370005-2	|	55	55	294	|	101	3.811	|	0.545	2.075	2.075	55	0.187
2370005-3	|	28	28	164	|	61	3.811	|	0.459	1.749	1.749	28	0.171
2370005-4	|	47	47	240	|	89	3.811	|	0.528	2.013	2.013	47	0.196
2370005-5	|	27	27	152	|	56	3.811	|	0.482	1.838	1.838	27	0.178
2370005-6	|	57	57	310	|	107	3.811	|	0.533	2.03	2.030	57	0.184
2370005-7	|	32	32	181	|	64	3.811	|	0.5	1.906	1.906	32	0.177
2370005-8	|	38	37	263	|	105	3.811	|	0.362	1.379	1.343	37	0.144
2370005-9	|	12	12	126	|	45	3.811	|	0.267	1.016	1.016	12	0.095
2370005-10	|	55	55	310	|	109	3.811	|	0.505	1.923	1.923	55	0.177
2370005-11	|	40	40	212	|	69	3.811	|	0.58	2.209	2.209	40	0.189
2370005-12	|	52	52	258	|	88	3.811	|	0.591	2.252	2.252	52	0.202
2370005-13	|	32	32	145	|	49	3.811	|	0.653	2.489	2.489	32	0.221
2370005-14	|	62	62	308	|	101	3.811	|	0.614	2.34	2.340	62	0.201
2370005-15	|	34	34	154	|	48	3.811	|	0.708	2.7	2.700	34	0.221
2370005-16	|	45	45	272	|	97	3.811	|	0.464	1.768	1.768	45	0.165
2370005-17	|	19	19	130	|	51	3.811	|	0.373	1.42	1.420	19	0.146
2370005-18	|	102	102	595	|	211	3.811	|	0.483	1.842	1.842	102	0.171
2370005-19	|	178	178	910	|	300	3.811	|	0.593	2.261	2.261	178	0.196
2370005-20	|	109	109	577	|	200	3.811	|	0.545	2.077	2.077	109	0.189
2370005-21	|	143	143	719	|	270	3.811	|	0.53	2.019	2.019	143	0.199
2370005-22	|	103	103	555	|	192	3.811	|	0.536	2.045	2.045	103	0.186
2370005-23	|	165	165	782	|	262	3.811	|	0.63	2.4	2.400	165	0.211
2370005-24	|	108	108	582	|	204	3.811	|	0.529	2.018	2.018	108	0.186
