2370005-329	|	971	970	1110	|	762	3.811	|	1.274	4.857	4.852	970	0.875
2120020-385	|	852	851	1041	|	833	9.345	|	1.023	9.558	9.547	851	0.818
2400004-305	|	1156	1155	1726	|	1207	3.547	|	0.958	3.397	3.394	1155	0.67
2400004-385	|	681	679	1041	|	549	3.547	|	1.24	4.4	4.387	679	0.654
2400004-303	|	1121	1120	1743	|	1209	3.547	|	0.927	3.289	3.286	1120	0.643
2400004-357	|	629	628	1041	|	437	3.547	|	1.439	5.106	5.098	628	0.604
2400004-304	|	1714	1713	2952	|	2079	3.547	|	0.824	2.924	2.923	1713	0.581
2400004-329	|	642	642	1110	|	507	3.547	|	1.266	4.492	4.492	642	0.578
2400004-209	|	174	173	307	|	133	3.547	|	1.308	4.641	4.614	173	0.567
2400004-302	|	1645	1644	2929	|	2046	3.547	|	0.804	2.852	2.850	1644	0.562
2400004-301	|	1006	1005	1806	|	1284	3.547	|	0.783	2.779	2.776	1005	0.557
2400004-199	|	139	139	255	|	116	3.547	|	1.198	4.25	4.250	139	0.545
2400004-300	|	1573	1572	2896	|	2025	3.547	|	0.777	2.755	2.754	1572	0.543
2400004-187	|	571	570	1053	|	672	3.547	|	0.85	3.014	3.009	570	0.542
2120020-125	|	94	94	181	|	87	9.345	|	1.08	10.097	10.097	94	0.519
2400004-223	|	303	303	590	|	287	3.547	|	1.056	3.745	3.745	303	0.514
2400004-208	|	223	222	436	|	213	3.547	|	1.047	3.714	3.697	222	0.511
2340011-13	|	74	73	145	|	71	7.71	|	1.042	8.036	7.927	73	0.51
2370005-331	|	815	814	1603	|	1127	3.811	|	0.723	2.756	2.753	814	0.508
2120020-357	|	529	529	1041	|	805	9.345	|	0.657	6.141	6.141	529	0.508
2400004-221	|	470	469	929	|	459	3.547	|	1.024	3.632	3.624	469	0.506
2400004-204	|	173	173	346	|	173	3.547	|	1.0	3.547	3.547	173	0.5
2400004-215	|	605	604	1215	|	610	3.547	|	0.992	3.518	3.512	604	0.498
2370005-385	|	511	511	1041	|	402	3.811	|	1.271	4.845	4.845	511	0.491
2400004-214	|	378	377	771	|	393	3.547	|	0.962	3.412	3.403	377	0.49
2400004-198	|	201	201	410	|	209	3.547	|	0.962	3.411	3.411	201	0.49
2400004-220	|	341	340	698	|	357	3.547	|	0.955	3.388	3.378	340	0.489
2400004-222	|	273	273	562	|	289	3.547	|	0.945	3.351	3.351	273	0.486
2400004-200	|	150	150	312	|	162	3.547	|	0.926	3.284	3.284	150	0.481
2400004-216	|	322	321	673	|	351	3.547	|	0.917	3.254	3.244	321	0.478
2340011-11	|	101	100	212	|	111	7.71	|	0.91	7.015	6.946	100	0.476
2400004-206	|	140	140	295	|	155	3.547	|	0.903	3.204	3.204	140	0.475
2400004-218	|	323	322	683	|	360	3.547	|	0.897	3.183	3.173	322	0.473
2400004-201	|	68	67	144	|	76	3.547	|	0.895	3.174	3.127	67	0.472
2400004-205	|	95	94	202	|	107	3.547	|	0.888	3.149	3.116	94	0.47
2340011-12	|	121	120	258	|	137	7.71	|	0.883	6.809	6.753	120	0.469
2400004-217	|	381	381	821	|	440	3.547	|	0.866	3.072	3.072	381	0.464
2400004-181	|	127	127	274	|	147	3.547	|	0.864	3.065	3.065	127	0.464
2400004-212	|	133	133	287	|	154	3.547	|	0.864	3.063	3.063	133	0.463
2370005-333	|	807	807	1745	|	1215	3.811	|	0.664	2.531	2.531	807	0.462
2120020-139	|	194	193	420	|	226	9.345	|	0.858	8.022	7.980	193	0.462
2120020-123	|	108	108	236	|	128	9.345	|	0.844	7.885	7.885	108	0.458
2400004-219	|	404	403	886	|	482	3.547	|	0.838	2.973	2.966	403	0.456
2400004-196	|	155	155	340	|	185	3.547	|	0.838	2.972	2.972	155	0.456
2340011-27	|	156	155	342	|	186	7.71	|	0.839	6.466	6.425	155	0.456
2400004-210	|	147	146	323	|	176	3.547	|	0.835	2.963	2.943	146	0.455
2400004-306	|	1327	1325	2933	|	2065	3.547	|	0.643	2.279	2.276	1325	0.452
2370005-357	|	467	467	1041	|	375	3.811	|	1.245	4.746	4.746	467	0.449
2340011-1	|	111	110	248	|	137	7.71	|	0.81	6.247	6.190	110	0.448
2340011-19	|	398	395	910	|	512	7.71	|	0.777	5.993	5.948	395	0.437
