pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2240000-0	|	22	22	357	|	223	9.823	|	0.099	0.969	0.969	22	0.062
2240000-1	|	13	13	248	|	165	9.823	|	0.079	0.774	0.774	13	0.052
2240000-2	|	10	10	294	|	185	9.823	|	0.054	0.531	0.531	10	0.034
2240000-3	|	6	6	164	|	109	9.823	|	0.055	0.541	0.541	6	0.037
2240000-4	|	15	15	240	|	152	9.823	|	0.099	0.969	0.969	15	0.062
2240000-5	|	6	6	152	|	92	9.823	|	0.065	0.641	0.641	6	0.039
2240000-6	|	12	12	310	|	190	9.823	|	0.063	0.62	0.620	12	0.039
2240000-7	|	9	9	181	|	111	9.823	|	0.081	0.796	0.796	9	0.05
2240000-8	|	8	8	263	|	157	9.823	|	0.051	0.501	0.501	8	0.03
2240000-9	|	4	4	126	|	73	9.823	|	0.055	0.538	0.538	4	0.032
2240000-10	|	16	16	310	|	186	9.823	|	0.086	0.845	0.845	16	0.052
2240000-11	|	13	13	212	|	134	9.823	|	0.097	0.953	0.953	13	0.061
2240000-12	|	12	12	258	|	167	9.823	|	0.072	0.706	0.706	12	0.047
2240000-13	|	13	13	145	|	90	9.823	|	0.144	1.419	1.419	13	0.09
2240000-14	|	17	17	308	|	188	9.823	|	0.09	0.888	0.888	17	0.055
2240000-15	|	10	10	154	|	89	9.823	|	0.112	1.104	1.104	10	0.065
2240000-16	|	11	11	272	|	171	9.823	|	0.064	0.632	0.632	11	0.04
2240000-17	|	1	1	130	|	76	9.823	|	0.013	0.129	0.129	1	0.008
2240000-18	|	34	34	595	|	378	9.823	|	0.09	0.884	0.884	34	0.057
2240000-19	|	49	49	910	|	602	9.823	|	0.081	0.8	0.800	49	0.054
2240000-20	|	29	29	577	|	355	9.823	|	0.082	0.802	0.802	29	0.05
2240000-21	|	40	40	719	|	440	9.823	|	0.091	0.893	0.893	40	0.056
2240000-22	|	26	26	555	|	347	9.823	|	0.075	0.736	0.736	26	0.047
2240000-23	|	43	43	782	|	485	9.823	|	0.089	0.871	0.871	43	0.055
2240000-24	|	31	31	582	|	356	9.823	|	0.087	0.855	0.855	31	0.053
2240000-25	|	38	38	747	|	475	9.823	|	0.08	0.786	0.786	38	0.051
2240000-26	|	21	21	335	|	212	9.823	|	0.099	0.973	0.973	21	0.063
2240000-27	|	28	28	342	|	231	9.823	|	0.121	1.191	1.191	28	0.082
2240000-28	|	23	23	458	|	298	9.823	|	0.077	0.758	0.758	23	0.05
2240000-29	|	9	9	232	|	137	9.823	|	0.066	0.645	0.645	9	0.039
2240000-30	|	25	25	446	|	297	9.823	|	0.084	0.827	0.827	25	0.056
2240000-31	|	8	8	190	|	125	9.823	|	0.064	0.629	0.629	8	0.042
2240000-32	|	13	13	263	|	165	9.823	|	0.079	0.774	0.774	13	0.049
2240000-33	|	4	4	133	|	85	9.823	|	0.047	0.462	0.462	4	0.03
2240000-34	|	29	29	494	|	344	9.823	|	0.084	0.828	0.828	29	0.059
2240000-35	|	11	11	239	|	157	9.823	|	0.07	0.688	0.688	11	0.046
2240000-36	|	27	27	386	|	258	9.823	|	0.105	1.028	1.028	27	0.07
2240000-37	|	9	9	149	|	93	9.823	|	0.097	0.951	0.951	9	0.06
2240000-38	|	34	34	596	|	416	9.823	|	0.082	0.803	0.803	34	0.057
2240000-39	|	24	24	352	|	240	9.823	|	0.1	0.982	0.982	24	0.068
2240000-40	|	26	26	460	|	320	9.823	|	0.081	0.798	0.798	26	0.057
2240000-41	|	12	12	238	|	160	9.823	|	0.075	0.737	0.737	12	0.05
2240000-42	|	30	30	409	|	269	9.823	|	0.112	1.095	1.095	30	0.073
2240000-43	|	11	11	206	|	128	9.823	|	0.086	0.844	0.844	11	0.053
2240000-44	|	28	28	390	|	250	9.823	|	0.112	1.1	1.100	28	0.072
2240000-45	|	10	10	166	|	89	9.823	|	0.112	1.104	1.104	10	0.06
2240000-46	|	73	73	1091	|	765	9.823	|	0.095	0.937	0.937	73	0.067
2240000-47	|	99	99	905	|	592	9.823	|	0.167	1.643	1.643	99	0.109
2240000-48	|	56	56	877	|	596	9.823	|	0.094	0.923	0.923	56	0.064
2240000-49	|	54	54	884	|	560	9.823	|	0.096	0.947	0.947	54	0.061
2240000-50	|	57	57	932	|	627	9.823	|	0.091	0.893	0.893	57	0.061
2240000-51	|	56	56	1038	|	662	9.823	|	0.085	0.831	0.831	56	0.054
2240000-52	|	61	61	959	|	657	9.823	|	0.093	0.912	0.912	61	0.064
2240000-53	|	73	73	1137	|	758	9.823	|	0.096	0.946	0.946	73	0.064
2240000-54	|	49	49	811	|	596	9.823	|	0.082	0.808	0.808	49	0.06
2240000-55	|	39	39	717	|	548	9.823	|	0.071	0.699	0.699	39	0.054
2240000-56	|	12	12	282	|	176	9.823	|	0.068	0.67	0.670	12	0.043
2240000-57	|	13	13	192	|	115	9.823	|	0.113	1.11	1.110	13	0.068
2240000-58	|	13	13	282	|	180	9.823	|	0.072	0.709	0.709	13	0.046
2240000-59	|	15	15	233	|	156	9.823	|	0.096	0.944	0.944	15	0.064
2240000-60	|	12	12	222	|	133	9.823	|	0.09	0.886	0.886	12	0.054
2240000-61	|	10	10	149	|	86	9.823	|	0.116	1.142	1.142	10	0.067
2240000-62	|	16	16	275	|	160	9.823	|	0.1	0.982	0.982	16	0.058
2240000-63	|	8	8	167	|	97	9.823	|	0.082	0.81	0.810	8	0.048
2240000-64	|	13	13	233	|	145	9.823	|	0.09	0.881	0.881	13	0.056
2240000-65	|	4	4	133	|	80	9.823	|	0.05	0.491	0.491	4	0.03
2240000-66	|	8	8	230	|	142	9.823	|	0.056	0.553	0.553	8	0.035
2240000-67	|	7	7	203	|	126	9.823	|	0.056	0.546	0.546	7	0.034
2240000-68	|	5	5	232	|	155	9.823	|	0.032	0.317	0.317	5	0.022
2240000-69	|	6	6	136	|	81	9.823	|	0.074	0.728	0.728	6	0.044
2240000-70	|	10	10	224	|	137	9.823	|	0.073	0.717	0.717	10	0.045
2240000-71	|	5	5	122	|	79	9.823	|	0.063	0.622	0.622	5	0.041
2240000-72	|	13	13	237	|	152	9.823	|	0.086	0.84	0.840	13	0.055
2240000-73	|	4	4	148	|	92	9.823	|	0.043	0.427	0.427	4	0.027
2240000-74	|	22	22	455	|	285	9.823	|	0.077	0.758	0.758	22	0.048
2240000-75	|	38	38	803	|	512	9.823	|	0.074	0.729	0.729	38	0.047
2240000-76	|	19	19	444	|	288	9.823	|	0.066	0.648	0.648	19	0.043
2240000-77	|	35	35	648	|	405	9.823	|	0.086	0.849	0.849	35	0.054
2240000-78	|	23	23	487	|	304	9.823	|	0.076	0.743	0.743	23	0.047
2240000-79	|	43	43	730	|	439	9.823	|	0.098	0.962	0.962	43	0.059
2240000-80	|	25	25	448	|	282	9.823	|	0.089	0.871	0.871	25	0.056
2240000-81	|	41	41	719	|	454	9.823	|	0.09	0.887	0.887	41	0.057
2240000-82	|	13	13	282	|	182	9.823	|	0.071	0.702	0.702	13	0.046
2240000-83	|	19	19	341	|	226	9.823	|	0.084	0.826	0.826	19	0.056
2240000-84	|	20	20	302	|	215	9.823	|	0.093	0.914	0.914	20	0.066
2240000-85	|	15	15	139	|	87	9.823	|	0.172	1.694	1.694	15	0.108
2240000-86	|	25	25	306	|	208	9.823	|	0.12	1.181	1.181	25	0.082
2240000-87	|	6	6	133	|	91	9.823	|	0.066	0.648	0.648	6	0.045
2240000-88	|	13	13	276	|	205	9.823	|	0.063	0.623	0.623	13	0.047
2240000-89	|	10	10	133	|	91	9.823	|	0.11	1.079	1.079	10	0.075
2240000-90	|	14	14	258	|	186	9.823	|	0.075	0.739	0.739	14	0.054
2240000-91	|	7	7	117	|	78	9.823	|	0.09	0.882	0.882	7	0.06
2240000-92	|	15	15	249	|	175	9.823	|	0.086	0.842	0.842	15	0.06
2240000-93	|	9	9	101	|	59	9.823	|	0.153	1.498	1.498	9	0.089
2240000-94	|	10	10	206	|	158	9.823	|	0.063	0.622	0.622	10	0.049
2240000-95	|	5	5	92	|	72	9.823	|	0.069	0.682	0.682	5	0.054
2240000-96	|	16	16	222	|	155	9.823	|	0.103	1.014	1.014	16	0.072
2240000-97	|	5	5	92	|	58	9.823	|	0.086	0.847	0.847	5	0.054
2240000-98	|	15	15	240	|	172	9.823	|	0.087	0.857	0.857	15	0.062
2240000-99	|	4	4	86	|	60	9.823	|	0.067	0.655	0.655	4	0.047
2240000-100	|	19	19	263	|	180	9.823	|	0.106	1.037	1.037	19	0.072
2240000-101	|	13	13	109	|	60	9.823	|	0.217	2.128	2.128	13	0.119
2240000-102	|	45	45	576	|	416	9.823	|	0.108	1.063	1.063	45	0.078
2240000-103	|	41	41	594	|	417	9.823	|	0.098	0.966	0.966	41	0.069
2240000-104	|	35	35	581	|	431	9.823	|	0.081	0.798	0.798	35	0.06
2240000-105	|	43	43	591	|	421	9.823	|	0.102	1.003	1.003	43	0.073
2240000-106	|	45	45	593	|	436	9.823	|	0.103	1.014	1.014	45	0.076
2240000-107	|	48	48	596	|	413	9.823	|	0.116	1.142	1.142	48	0.081
2240000-108	|	40	40	555	|	412	9.823	|	0.097	0.954	0.954	40	0.072
2240000-109	|	43	43	527	|	369	9.823	|	0.117	1.145	1.145	43	0.082
2240000-110	|	22	22	315	|	231	9.823	|	0.095	0.935	0.935	22	0.07
2240000-111	|	19	19	196	|	139	9.823	|	0.137	1.343	1.343	19	0.097
2240000-112	|	13	13	295	|	171	9.823	|	0.076	0.747	0.747	13	0.044
2240000-113	|	11	11	193	|	115	9.823	|	0.096	0.94	0.940	11	0.057
2240000-114	|	17	17	351	|	220	9.823	|	0.077	0.759	0.759	17	0.048
2240000-115	|	14	14	271	|	188	9.823	|	0.074	0.731	0.731	14	0.052
2240000-116	|	13	13	279	|	168	9.823	|	0.077	0.76	0.760	13	0.047
2240000-117	|	8	8	147	|	90	9.823	|	0.089	0.873	0.873	8	0.054
2240000-118	|	7	7	193	|	112	9.823	|	0.062	0.614	0.614	7	0.036
2240000-119	|	5	5	122	|	72	9.823	|	0.069	0.682	0.682	5	0.041
2240000-120	|	9	9	255	|	144	9.823	|	0.062	0.614	0.614	9	0.035
2240000-121	|	5	5	129	|	74	9.823	|	0.068	0.664	0.664	5	0.039
2240000-122	|	13	13	290	|	186	9.823	|	0.07	0.687	0.687	13	0.045
2240000-123	|	11	11	236	|	159	9.823	|	0.069	0.68	0.680	11	0.047
2240000-124	|	16	16	288	|	186	9.823	|	0.086	0.845	0.845	16	0.056
2240000-125	|	11	11	181	|	110	9.823	|	0.1	0.982	0.982	11	0.061
2240000-126	|	9	9	274	|	172	9.823	|	0.052	0.514	0.514	9	0.033
2240000-127	|	4	4	143	|	88	9.823	|	0.045	0.446	0.446	4	0.028
