pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2340011-0	|	88	88	288	|	200	13.093	|	0.44	5.761	5.761	88	0.306
2340011-1	|	49	49	180	|	131	13.093	|	0.374	4.897	4.897	49	0.272
2340011-2	|	72	72	262	|	190	13.093	|	0.379	4.961	4.961	72	0.275
2340011-3	|	44	44	145	|	101	13.093	|	0.436	5.704	5.704	44	0.303
2340011-4	|	66	66	266	|	200	13.093	|	0.33	4.321	4.321	66	0.248
2340011-5	|	31	31	135	|	104	13.093	|	0.298	3.903	3.903	31	0.23
2340011-6	|	84	84	293	|	209	13.093	|	0.402	5.262	5.262	84	0.287
2340011-7	|	68	68	185	|	117	13.093	|	0.581	7.609	7.609	68	0.368
2340011-8	|	88	88	284	|	196	13.093	|	0.449	5.878	5.878	88	0.31
2340011-9	|	44	44	147	|	103	13.093	|	0.427	5.593	5.593	44	0.299
2340011-10	|	85	85	228	|	143	13.093	|	0.594	7.782	7.782	85	0.373
2340011-11	|	51	51	130	|	79	13.093	|	0.646	8.452	8.452	51	0.392
2340011-12	|	68	68	225	|	157	13.093	|	0.433	5.671	5.671	68	0.302
2340011-13	|	50	50	140	|	90	13.093	|	0.556	7.274	7.274	50	0.357
2340011-14	|	71	71	268	|	197	13.093	|	0.36	4.719	4.719	71	0.265
2340011-15	|	38	38	138	|	100	13.093	|	0.38	4.975	4.975	38	0.275
2340011-16	|	75	75	257	|	182	13.093	|	0.412	5.395	5.395	75	0.292
2340011-17	|	41	41	137	|	96	13.093	|	0.427	5.592	5.592	41	0.299
2340011-18	|	164	164	498	|	334	13.093	|	0.491	6.429	6.429	164	0.329
2340011-19	|	238	238	677	|	439	13.093	|	0.542	7.098	7.098	238	0.352
2340011-20	|	167	167	561	|	394	13.093	|	0.424	5.549	5.549	167	0.298
2340011-21	|	231	231	784	|	553	13.093	|	0.418	5.469	5.469	231	0.295
2340011-22	|	158	158	566	|	408	13.093	|	0.387	5.07	5.070	158	0.279
2340011-23	|	232	232	756	|	524	13.093	|	0.443	5.797	5.797	232	0.307
2340011-24	|	167	167	545	|	378	13.093	|	0.442	5.784	5.784	167	0.306
2340011-25	|	235	235	742	|	507	13.093	|	0.464	6.069	6.069	235	0.317
2340011-26	|	106	106	340	|	234	13.093	|	0.453	5.931	5.931	106	0.312
2340011-27	|	130	130	411	|	281	13.093	|	0.463	6.057	6.057	130	0.316
2340011-28	|	43	43	354	|	244	13.093	|	0.176	2.307	2.307	43	0.121
2340011-29	|	30	30	190	|	125	13.093	|	0.24	3.142	3.142	30	0.158
2340011-30	|	39	39	314	|	211	13.093	|	0.185	2.42	2.420	39	0.124
2340011-31	|	26	26	156	|	106	13.093	|	0.245	3.211	3.211	26	0.167
2340011-32	|	31	31	248	|	175	13.093	|	0.177	2.319	2.319	31	0.125
2340011-33	|	20	20	139	|	93	13.093	|	0.215	2.816	2.816	20	0.144
2340011-34	|	49	49	396	|	272	13.093	|	0.18	2.359	2.359	49	0.124
2340011-35	|	36	36	213	|	144	13.093	|	0.25	3.273	3.273	36	0.169
2340011-36	|	44	44	321	|	215	13.093	|	0.205	2.679	2.679	44	0.137
2340011-37	|	19	19	146	|	95	13.093	|	0.2	2.619	2.619	19	0.13
2340011-38	|	47	47	385	|	263	13.093	|	0.179	2.34	2.340	47	0.122
2340011-39	|	33	33	226	|	145	13.093	|	0.228	2.98	2.980	33	0.146
2340011-40	|	33	33	369	|	268	13.093	|	0.123	1.612	1.612	33	0.089
2340011-41	|	25	25	192	|	129	13.093	|	0.194	2.537	2.537	25	0.13
2340011-42	|	38	38	349	|	243	13.093	|	0.156	2.047	2.047	38	0.109
2340011-43	|	19	19	167	|	121	13.093	|	0.157	2.056	2.056	19	0.114
2340011-44	|	38	38	309	|	213	13.093	|	0.178	2.336	2.336	38	0.123
2340011-45	|	21	21	149	|	103	13.093	|	0.204	2.669	2.669	21	0.141
2340011-46	|	85	85	803	|	561	13.093	|	0.152	1.984	1.984	85	0.106
2340011-47	|	107	107	1059	|	746	13.093	|	0.143	1.878	1.878	107	0.101
2340011-48	|	88	88	748	|	525	13.093	|	0.168	2.195	2.195	88	0.118
2340011-49	|	122	122	992	|	689	13.093	|	0.177	2.318	2.318	122	0.123
2340011-50	|	82	82	739	|	515	13.093	|	0.159	2.085	2.085	82	0.111
2340011-51	|	115	115	940	|	649	13.093	|	0.177	2.32	2.320	115	0.122
2340011-52	|	90	90	784	|	547	13.093	|	0.165	2.154	2.154	90	0.115
2340011-53	|	119	119	1001	|	713	13.093	|	0.167	2.185	2.185	119	0.119
2340011-54	|	58	58	652	|	472	13.093	|	0.123	1.609	1.609	58	0.089
2340011-55	|	71	71	756	|	553	13.093	|	0.128	1.681	1.681	71	0.094
2340011-56	|	33	33	238	|	165	13.093	|	0.2	2.619	2.619	33	0.139
2340011-57	|	24	24	167	|	114	13.093	|	0.211	2.756	2.756	24	0.144
2340011-58	|	33	33	238	|	161	13.093	|	0.205	2.684	2.684	33	0.139
2340011-59	|	27	27	197	|	138	13.093	|	0.196	2.562	2.562	27	0.137
