pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2340011-0	|	135	134	357	|	222	7.71	|	0.608	4.688	4.654	134	0.378
2340011-1	|	111	110	248	|	137	7.71	|	0.81	6.247	6.190	110	0.448
2340011-2	|	120	119	294	|	174	7.71	|	0.69	5.317	5.273	119	0.408
2340011-3	|	62	60	164	|	102	7.71	|	0.608	4.686	4.535	60	0.378
2340011-4	|	98	97	240	|	142	7.71	|	0.69	5.321	5.267	97	0.408
2340011-5	|	54	54	152	|	98	7.71	|	0.551	4.248	4.248	54	0.355
2340011-6	|	130	130	310	|	180	7.71	|	0.722	5.568	5.568	130	0.419
2340011-7	|	74	74	181	|	107	7.71	|	0.692	5.332	5.332	74	0.409
2340011-8	|	93	91	263	|	170	7.71	|	0.547	4.218	4.127	91	0.354
2340011-9	|	38	36	126	|	88	7.71	|	0.432	3.329	3.154	36	0.302
2340011-10	|	135	134	310	|	175	7.71	|	0.771	5.948	5.904	134	0.435
2340011-11	|	101	100	212	|	111	7.71	|	0.91	7.015	6.946	100	0.476
2340011-12	|	121	120	258	|	137	7.71	|	0.883	6.809	6.753	120	0.469
2340011-13	|	74	73	145	|	71	7.71	|	1.042	8.036	7.927	73	0.51
2340011-14	|	117	115	308	|	191	7.71	|	0.613	4.723	4.642	115	0.38
2340011-15	|	62	61	154	|	92	7.71	|	0.674	5.196	5.112	61	0.403
2340011-16	|	92	90	272	|	180	7.71	|	0.511	3.941	3.855	90	0.338
2340011-17	|	48	47	130	|	82	7.71	|	0.585	4.513	4.419	47	0.369
2340011-18	|	245	243	595	|	350	7.71	|	0.7	5.397	5.353	243	0.412
2340011-19	|	398	395	910	|	512	7.71	|	0.777	5.993	5.948	395	0.437
2340011-20	|	237	235	577	|	340	7.71	|	0.697	5.374	5.329	235	0.411
2340011-21	|	299	298	719	|	420	7.71	|	0.712	5.489	5.470	298	0.416
2340011-22	|	218	216	555	|	337	7.71	|	0.647	4.987	4.942	216	0.393
2340011-23	|	322	321	782	|	460	7.71	|	0.7	5.397	5.380	321	0.412
2340011-24	|	217	216	582	|	365	7.71	|	0.595	4.584	4.563	216	0.373
2340011-25	|	309	308	747	|	438	7.71	|	0.705	5.439	5.422	308	0.414
2340011-26	|	146	144	335	|	189	7.71	|	0.772	5.956	5.874	144	0.436
2340011-27	|	156	155	342	|	186	7.71	|	0.839	6.466	6.425	155	0.456
2340011-28	|	101	101	458	|	247	7.71	|	0.409	3.153	3.153	101	0.221
2340011-29	|	51	51	232	|	113	7.71	|	0.451	3.48	3.480	51	0.22
2340011-30	|	85	85	446	|	252	7.71	|	0.337	2.601	2.601	85	0.191
2340011-31	|	42	42	190	|	106	7.71	|	0.396	3.055	3.055	42	0.221
2340011-32	|	58	58	263	|	134	7.71	|	0.433	3.337	3.337	58	0.221
2340011-33	|	27	27	133	|	72	7.71	|	0.375	2.891	2.891	27	0.203
2340011-34	|	92	92	494	|	289	7.71	|	0.318	2.454	2.454	92	0.186
2340011-35	|	51	51	239	|	130	7.71	|	0.392	3.025	3.025	51	0.213
2340011-36	|	74	74	386	|	225	7.71	|	0.329	2.536	2.536	74	0.192
2340011-37	|	33	33	149	|	85	7.71	|	0.388	2.993	2.993	33	0.221
2340011-38	|	92	92	596	|	355	7.71	|	0.259	1.998	1.998	92	0.154
2340011-39	|	54	54	352	|	209	7.71	|	0.258	1.992	1.992	54	0.153
2340011-40	|	90	90	460	|	268	7.71	|	0.336	2.589	2.589	90	0.196
2340011-41	|	42	42	238	|	136	7.71	|	0.309	2.381	2.381	42	0.176
2340011-42	|	72	72	409	|	232	7.71	|	0.31	2.393	2.393	72	0.176
2340011-43	|	33	32	206	|	115	7.71	|	0.287	2.212	2.145	32	0.16
2340011-44	|	75	75	390	|	226	7.71	|	0.332	2.559	2.559	75	0.192
2340011-45	|	45	45	166	|	87	7.71	|	0.517	3.988	3.988	45	0.271
2340011-46	|	173	173	1091	|	646	7.71	|	0.268	2.065	2.065	173	0.159
2340011-47	|	233	233	905	|	535	7.71	|	0.436	3.358	3.358	233	0.257
2340011-48	|	154	154	877	|	515	7.71	|	0.299	2.305	2.305	154	0.176
2340011-49	|	160	160	884	|	523	7.71	|	0.306	2.359	2.359	160	0.181
2340011-50	|	164	164	932	|	547	7.71	|	0.3	2.312	2.312	164	0.176
2340011-51	|	189	189	1038	|	596	7.71	|	0.317	2.445	2.445	189	0.182
2340011-52	|	168	168	959	|	567	7.71	|	0.296	2.284	2.284	168	0.175
2340011-53	|	189	189	1137	|	684	7.71	|	0.276	2.13	2.130	189	0.166
2340011-54	|	121	121	811	|	501	7.71	|	0.242	1.862	1.862	121	0.149
2340011-55	|	96	96	717	|	466	7.71	|	0.206	1.588	1.588	96	0.134
2340011-56	|	61	61	282	|	154	7.71	|	0.396	3.054	3.054	61	0.216
2340011-57	|	45	45	192	|	106	7.71	|	0.425	3.273	3.273	45	0.234
2340011-58	|	52	52	282	|	169	7.71	|	0.308	2.372	2.372	52	0.184
2340011-59	|	51	51	233	|	130	7.71	|	0.392	3.025	3.025	51	0.219
2340011-60	|	50	49	222	|	121	7.71	|	0.413	3.186	3.122	49	0.225
2340011-61	|	34	34	149	|	84	7.71	|	0.405	3.121	3.121	34	0.228
2340011-62	|	52	51	275	|	157	7.71	|	0.331	2.554	2.504	51	0.189
2340011-63	|	33	33	167	|	94	7.71	|	0.351	2.707	2.707	33	0.198
2340011-64	|	43	43	233	|	136	7.71	|	0.316	2.438	2.438	43	0.185
2340011-65	|	24	24	133	|	81	7.71	|	0.296	2.284	2.284	24	0.18
2340011-66	|	53	53	230	|	119	7.71	|	0.445	3.434	3.434	53	0.23
2340011-67	|	43	43	203	|	111	7.71	|	0.387	2.987	2.987	43	0.212
2340011-68	|	46	46	232	|	132	7.71	|	0.348	2.687	2.687	46	0.198
2340011-69	|	26	26	136	|	76	7.71	|	0.342	2.638	2.638	26	0.191
2340011-70	|	42	42	224	|	128	7.71	|	0.328	2.53	2.530	42	0.188
2340011-71	|	20	20	122	|	74	7.71	|	0.27	2.084	2.084	20	0.164
2340011-72	|	41	41	237	|	142	7.71	|	0.289	2.226	2.226	41	0.173
2340011-73	|	36	36	148	|	75	7.71	|	0.48	3.701	3.701	36	0.243
2340011-74	|	89	89	455	|	259	7.71	|	0.344	2.649	2.649	89	0.196
2340011-75	|	145	145	803	|	480	7.71	|	0.302	2.329	2.329	145	0.181
2340011-76	|	82	82	444	|	262	7.71	|	0.313	2.413	2.413	82	0.185
2340011-77	|	126	126	648	|	379	7.71	|	0.332	2.563	2.563	126	0.194
2340011-78	|	92	92	487	|	286	7.71	|	0.322	2.48	2.480	92	0.189
2340011-79	|	127	127	730	|	433	7.71	|	0.293	2.261	2.261	127	0.174
2340011-80	|	87	87	448	|	264	7.71	|	0.33	2.541	2.541	87	0.194
2340011-81	|	131	131	719	|	421	7.71	|	0.311	2.399	2.399	131	0.182
2340011-82	|	51	51	282	|	172	7.71	|	0.297	2.286	2.286	51	0.181
2340011-83	|	67	67	341	|	205	7.71	|	0.327	2.52	2.520	67	0.196
2340011-84	|	32	31	302	|	166	7.71	|	0.193	1.486	1.440	31	0.106
2340011-85	|	20	20	139	|	71	7.71	|	0.282	2.172	2.172	20	0.144
2340011-86	|	30	30	306	|	177	7.71	|	0.169	1.307	1.307	30	0.098
2340011-87	|	20	20	133	|	78	7.71	|	0.256	1.977	1.977	20	0.15
2340011-88	|	32	32	276	|	159	7.71	|	0.201	1.552	1.552	32	0.116
2340011-89	|	16	16	133	|	78	7.71	|	0.205	1.581	1.581	16	0.12
2340011-90	|	24	23	258	|	155	7.71	|	0.155	1.194	1.144	23	0.093
2340011-91	|	13	13	117	|	67	7.71	|	0.194	1.496	1.496	13	0.111
2340011-92	|	23	22	249	|	144	7.71	|	0.16	1.231	1.178	22	0.092
2340011-93	|	7	7	101	|	59	7.71	|	0.119	0.915	0.915	7	0.069
2340011-94	|	18	18	206	|	120	7.71	|	0.15	1.156	1.156	18	0.087
2340011-95	|	12	12	92	|	51	7.71	|	0.235	1.814	1.814	12	0.13
2340011-96	|	20	20	222	|	141	7.71	|	0.142	1.094	1.094	20	0.09
2340011-97	|	10	10	92	|	52	7.71	|	0.192	1.483	1.483	10	0.109
2340011-98	|	29	29	240	|	130	7.71	|	0.223	1.72	1.720	29	0.121
2340011-99	|	6	6	86	|	52	7.71	|	0.115	0.89	0.890	6	0.07
2340011-100	|	28	28	263	|	164	7.71	|	0.171	1.316	1.316	28	0.106
2340011-101	|	10	10	109	|	72	7.71	|	0.139	1.071	1.071	10	0.092
2340011-102	|	67	67	576	|	326	7.71	|	0.206	1.585	1.585	67	0.116
2340011-103	|	56	56	594	|	355	7.71	|	0.158	1.216	1.216	56	0.094
2340011-104	|	51	51	581	|	341	7.71	|	0.15	1.153	1.153	51	0.088
2340011-105	|	51	51	591	|	355	7.71	|	0.144	1.108	1.108	51	0.086
2340011-106	|	58	57	593	|	340	7.71	|	0.171	1.315	1.293	57	0.098
2340011-107	|	54	53	596	|	338	7.71	|	0.16	1.232	1.209	53	0.091
2340011-108	|	62	62	555	|	322	7.71	|	0.193	1.484	1.484	62	0.112
2340011-109	|	56	56	527	|	314	7.71	|	0.178	1.375	1.375	56	0.106
2340011-110	|	30	29	315	|	187	7.71	|	0.16	1.237	1.196	29	0.095
2340011-111	|	24	23	196	|	124	7.71	|	0.194	1.492	1.430	23	0.122
2340011-112	|	69	69	295	|	144	7.71	|	0.479	3.694	3.694	69	0.234
2340011-113	|	55	55	193	|	82	7.71	|	0.671	5.171	5.171	55	0.285
2340011-114	|	76	75	351	|	170	7.71	|	0.447	3.447	3.401	75	0.217
2340011-115	|	63	63	271	|	134	7.71	|	0.47	3.625	3.625	63	0.232
2340011-116	|	57	57	279	|	135	7.71	|	0.422	3.255	3.255	57	0.204
2340011-117	|	33	33	147	|	68	7.71	|	0.485	3.742	3.742	33	0.224
2340011-118	|	43	43	193	|	103	7.71	|	0.417	3.219	3.219	43	0.223
2340011-119	|	31	31	122	|	64	7.71	|	0.484	3.734	3.734	31	0.254
2340011-120	|	48	48	255	|	133	7.71	|	0.361	2.782	2.782	48	0.188
2340011-121	|	19	18	129	|	70	7.71	|	0.271	2.093	1.983	18	0.147
2340011-122	|	59	59	290	|	154	7.71	|	0.383	2.954	2.954	59	0.203
2340011-123	|	61	61	236	|	113	7.71	|	0.54	4.162	4.162	61	0.258
2340011-124	|	54	54	288	|	150	7.71	|	0.36	2.776	2.776	54	0.188
