2370005-329	|	971	970	1110	|	762	3.811	|	1.274	4.857	4.852	970	0.875
2120020-385	|	852	851	1041	|	833	9.345	|	1.023	9.558	9.547	851	0.818
2400004-305	|	1156	1155	1726	|	1207	3.547	|	0.958	3.397	3.394	1155	0.67
2400004-385	|	681	679	1041	|	549	3.547	|	1.24	4.4	4.387	679	0.654
2400004-303	|	1121	1120	1743	|	1209	3.547	|	0.927	3.289	3.286	1120	0.643
2400004-357	|	629	628	1041	|	437	3.547	|	1.439	5.106	5.098	628	0.604
2400004-304	|	1714	1713	2952	|	2079	3.547	|	0.824	2.924	2.923	1713	0.581
2400004-329	|	642	642	1110	|	507	3.547	|	1.266	4.492	4.492	642	0.578
2400004-209	|	174	173	307	|	133	3.547	|	1.308	4.641	4.614	173	0.567
2400004-302	|	1645	1644	2929	|	2046	3.547	|	0.804	2.852	2.850	1644	0.562
