pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2370005-136	|	122	122	569	|	186	3.811	|	0.656	2.5	2.500	122	0.214
2370005-137	|	174	174	808	|	261	3.811	|	0.667	2.541	2.541	174	0.215
2370005-138	|	83	83	392	|	135	3.811	|	0.615	2.343	2.343	83	0.212
2370005-139	|	94	94	420	|	144	3.811	|	0.653	2.488	2.488	94	0.224
2370005-140	|	43	43	223	|	85	3.811	|	0.506	1.928	1.928	43	0.193
2370005-141	|	32	32	168	|	60	3.811	|	0.533	2.033	2.033	32	0.19
2370005-142	|	41	41	231	|	92	3.811	|	0.446	1.699	1.699	41	0.177
2370005-143	|	33	33	189	|	65	3.811	|	0.508	1.935	1.935	33	0.175
2370005-144	|	30	30	209	|	83	3.811	|	0.361	1.378	1.378	30	0.144
2370005-145	|	19	19	134	|	54	3.811	|	0.352	1.341	1.341	19	0.142
2370005-146	|	41	41	178	|	66	3.811	|	0.621	2.368	2.368	41	0.23
2370005-147	|	23	23	141	|	61	3.811	|	0.377	1.437	1.437	23	0.163
2370005-148	|	44	44	213	|	78	3.811	|	0.564	2.15	2.150	44	0.207
2370005-149	|	29	29	153	|	63	3.811	|	0.46	1.754	1.754	29	0.19
2370005-150	|	31	31	173	|	64	3.811	|	0.484	1.846	1.846	31	0.179
2370005-151	|	34	34	158	|	60	3.811	|	0.567	2.16	2.160	34	0.215
2370005-152	|	35	35	173	|	66	3.811	|	0.53	2.021	2.021	35	0.202
2370005-153	|	25	25	118	|	47	3.811	|	0.532	2.027	2.027	25	0.212
2370005-154	|	30	30	157	|	63	3.811	|	0.476	1.815	1.815	30	0.191
2370005-155	|	25	25	109	|	39	3.811	|	0.641	2.443	2.443	25	0.229
2370005-156	|	22	22	183	|	77	3.811	|	0.286	1.089	1.089	22	0.12
2370005-157	|	17	16	127	|	50	3.811	|	0.34	1.296	1.220	16	0.134
2370005-158	|	71	71	394	|	153	3.811	|	0.464	1.769	1.769	71	0.18
2370005-159	|	135	135	705	|	269	3.811	|	0.502	1.913	1.913	135	0.191
2370005-160	|	70	70	375	|	144	3.811	|	0.486	1.853	1.853	70	0.187
2370005-161	|	116	116	552	|	212	3.811	|	0.547	2.085	2.085	116	0.21
2370005-162	|	72	72	388	|	149	3.811	|	0.483	1.842	1.842	72	0.186
2370005-163	|	125	125	631	|	248	3.811	|	0.504	1.921	1.921	125	0.198
2370005-164	|	67	67	356	|	140	3.811	|	0.479	1.824	1.824	67	0.188
2370005-165	|	114	114	577	|	225	3.811	|	0.507	1.931	1.931	114	0.198
2370005-166	|	44	44	229	|	87	3.811	|	0.506	1.928	1.928	44	0.192
2370005-167	|	58	58	268	|	97	3.811	|	0.598	2.279	2.279	58	0.216
2370005-168	|	48	48	402	|	162	3.811	|	0.296	1.129	1.129	48	0.119
2370005-169	|	24	24	208	|	86	3.811	|	0.279	1.064	1.064	24	0.115
2370005-170	|	76	76	559	|	208	3.811	|	0.365	1.393	1.393	76	0.136
2370005-171	|	54	54	364	|	145	3.811	|	0.372	1.419	1.419	54	0.148
2370005-172	|	51	51	359	|	149	3.811	|	0.342	1.305	1.305	51	0.142
2370005-173	|	15	15	171	|	75	3.811	|	0.2	0.762	0.762	15	0.088
2370005-174	|	19	19	186	|	72	3.811	|	0.264	1.006	1.006	19	0.102
2370005-175	|	8	8	104	|	47	3.811	|	0.17	0.649	0.649	8	0.077
2370005-176	|	66	66	430	|	164	3.811	|	0.402	1.534	1.534	66	0.153
2370005-177	|	36	36	213	|	75	3.811	|	0.48	1.829	1.829	36	0.169
2370005-178	|	44	44	335	|	116	3.811	|	0.379	1.446	1.446	44	0.131
2370005-179	|	14	14	120	|	56	3.811	|	0.25	0.953	0.953	14	0.117
2370005-180	|	71	71	482	|	186	3.811	|	0.382	1.455	1.455	71	0.147
2370005-181	|	54	54	274	|	89	3.811	|	0.607	2.312	2.312	54	0.197
2370005-182	|	51	51	379	|	139	3.811	|	0.367	1.398	1.398	51	0.135
2370005-183	|	36	35	179	|	67	3.811	|	0.537	2.048	1.991	35	0.201
2370005-184	|	57	56	380	|	146	3.811	|	0.39	1.488	1.462	56	0.15
2370005-185	|	21	21	147	|	53	3.811	|	0.396	1.51	1.510	21	0.143
2370005-186	|	139	139	986	|	365	3.811	|	0.381	1.451	1.451	139	0.141
2370005-187	|	223	223	1053	|	391	3.811	|	0.57	2.174	2.174	223	0.212
2370005-188	|	120	120	820	|	305	3.811	|	0.393	1.5	1.500	120	0.146
2370005-189	|	159	159	954	|	365	3.811	|	0.436	1.66	1.660	159	0.167
2370005-190	|	121	121	830	|	321	3.811	|	0.377	1.437	1.437	121	0.146
2370005-191	|	153	153	1022	|	382	3.811	|	0.401	1.527	1.527	153	0.15
2370005-192	|	123	123	873	|	328	3.811	|	0.375	1.429	1.429	123	0.141
2370005-193	|	165	165	1122	|	425	3.811	|	0.388	1.48	1.480	165	0.147
2370005-194	|	102	102	726	|	272	3.811	|	0.375	1.429	1.429	102	0.14
2370005-195	|	106	106	724	|	272	3.811	|	0.39	1.485	1.485	106	0.146
2370005-196	|	59	59	340	|	131	3.811	|	0.45	1.717	1.717	59	0.174
2370005-197	|	36	36	179	|	73	3.811	|	0.493	1.88	1.880	36	0.201
2370005-198	|	81	81	410	|	150	3.811	|	0.54	2.058	2.058	81	0.198
2370005-199	|	42	42	255	|	95	3.811	|	0.442	1.685	1.685	42	0.165
2370005-200	|	59	59	312	|	116	3.811	|	0.509	1.938	1.938	59	0.189
2370005-201	|	18	18	144	|	53	3.811	|	0.34	1.294	1.294	18	0.125
2370005-202	|	35	35	194	|	78	3.811	|	0.449	1.71	1.710	35	0.18
2370005-203	|	15	15	109	|	48	3.811	|	0.312	1.191	1.191	15	0.138
2370005-204	|	67	67	346	|	124	3.811	|	0.54	2.059	2.059	67	0.194
2370005-205	|	43	43	202	|	69	3.811	|	0.623	2.375	2.375	43	0.213
2370005-206	|	58	58	295	|	107	3.811	|	0.542	2.066	2.066	58	0.197
2370005-207	|	15	15	108	|	41	3.811	|	0.366	1.394	1.394	15	0.139
2370005-208	|	83	83	436	|	175	3.811	|	0.474	1.808	1.808	83	0.19
2370005-209	|	56	56	307	|	121	3.811	|	0.463	1.764	1.764	56	0.182
2370005-210	|	63	63	323	|	129	3.811	|	0.488	1.861	1.861	63	0.195
2370005-211	|	42	42	185	|	65	3.811	|	0.646	2.463	2.463	42	0.227
2370005-212	|	62	62	287	|	99	3.811	|	0.626	2.387	2.387	62	0.216
2370005-213	|	18	18	136	|	49	3.811	|	0.367	1.4	1.400	18	0.132
2370005-214	|	143	143	771	|	308	3.811	|	0.464	1.77	1.770	143	0.185
2370005-215	|	227	227	1215	|	460	3.811	|	0.493	1.881	1.881	227	0.187
